id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,audio_features,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,250987,4
3vCHmbyOgc6pgwLUWfU4pF,0.461,0.69,8,-6.958,1,0.0611,0.169,1.01E-06,0.113,0.353,110.915,audio_features,spotify:track:3vCHmbyOgc6pgwLUWfU4pF,https://api.spotify.com/v1/tracks/3vCHmbyOgc6pgwLUWfU4pF,https://api.spotify.com/v1/audio-analysis/3vCHmbyOgc6pgwLUWfU4pF,296480,3
1AhDOtG9vPSOmsWgNW0BEY,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,audio_features,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/tracks/1AhDOtG9vPSOmsWgNW0BEY,https://api.spotify.com/v1/audio-analysis/1AhDOtG9vPSOmsWgNW0BEY,354320,4
6ns18ZPBRy4B4n06cplufL,0.406,0.94,7,-3.51,1,0.0863,0.00235,0.572,0.297,0.211,127.924,audio_features,spotify:track:6ns18ZPBRy4B4n06cplufL,https://api.spotify.com/v1/tracks/6ns18ZPBRy4B4n06cplufL,https://api.spotify.com/v1/audio-analysis/6ns18ZPBRy4B4n06cplufL,269747,4
3Oiauiojgokw9vWQvFmEoI,0.614,0.726,11,-6.441,1,0.096,0.00869,0.00131,0.157,0.315,144.965,audio_features,spotify:track:3Oiauiojgokw9vWQvFmEoI,https://api.spotify.com/v1/tracks/3Oiauiojgokw9vWQvFmEoI,https://api.spotify.com/v1/audio-analysis/3Oiauiojgokw9vWQvFmEoI,320000,4
24ATpf896KofEEDCd13myS,0.718,0.81,0,-3.443,0,0.106,0.238,0,0.0933,0.653,129.998,audio_features,spotify:track:24ATpf896KofEEDCd13myS,https://api.spotify.com/v1/tracks/24ATpf896KofEEDCd13myS,https://api.spotify.com/v1/audio-analysis/24ATpf896KofEEDCd13myS,208620,4
1CQqupcyMg7176PPmIVmSj,0.492,0.552,7,-12.321,0,0.0341,0.0151,3.74E-05,0.0723,0.655,105.623,audio_features,spotify:track:1CQqupcyMg7176PPmIVmSj,https://api.spotify.com/v1/tracks/1CQqupcyMg7176PPmIVmSj,https://api.spotify.com/v1/audio-analysis/1CQqupcyMg7176PPmIVmSj,257227,4
24NwBd5vZ2CK8VOQVnqdxr,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,audio_features,spotify:track:24NwBd5vZ2CK8VOQVnqdxr,https://api.spotify.com/v1/tracks/24NwBd5vZ2CK8VOQVnqdxr,https://api.spotify.com/v1/audio-analysis/24NwBd5vZ2CK8VOQVnqdxr,274133,4
5uuJruktM9fMdN9Va0DUMl,0.814,0.672,9,-12.068,1,0.0619,0.0435,0,0.061,0.933,109.394,audio_features,spotify:track:5uuJruktM9fMdN9Va0DUMl,https://api.spotify.com/v1/tracks/5uuJruktM9fMdN9Va0DUMl,https://api.spotify.com/v1/audio-analysis/5uuJruktM9fMdN9Va0DUMl,300000,4
1dv3ePjze9tPq2pk8eWJdR,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,audio_features,spotify:track:1dv3ePjze9tPq2pk8eWJdR,https://api.spotify.com/v1/tracks/1dv3ePjze9tPq2pk8eWJdR,https://api.spotify.com/v1/audio-analysis/1dv3ePjze9tPq2pk8eWJdR,270773,4
